Row,Stable_ID,UCUM_CODE,Print_Symbol,Label,Description,Synonyms,Search_Tokens,Dimension_Category,Dimension_Code,Metric_Code,Metric_Comment,Customary_Code,Customary_Comment,UCUM_Status,Is_Common,Source
206,ucum_MPLU,[MPL'U],[MPL'U],[MPL'U] (IgM anticardiolipin unit**),IgM anticardiolipin unit**,[MPL'U];IgM anticardiolipin unit**;IgM anticardiolipins unit**;igms anticardiolipin unit**;igms anticardiolipins units**;IgM anticardiolipin units**,mpl u igm anticardiolipin unit anticardiolipins igms units,Arbitrary Unit,arbitrary_unit,non_metric,customary atom(s): [MPL'U],,,c/s,false,ucum_v1.5_2020_06
207,ucum_MPSU,{MPS'U},{MPS'U},{MPS'U} (IgM antiphosphatidylserine unit),IgM antiphosphatidylserine unit,{MPS'U};IgM antiphosphatidylserine unit;igms antiphosphatidylserine unit;IgM antiphosphatidylserine units;igms antiphosphatidylserines units;IgM antiphosphatidylserines unit,mps u igm antiphosphatidylserine unit igms units antiphosphatidylserines,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
208,ucum_MPSU_per_mL,{MPS'U}/mL,{MPS'U}/mL,{MPS'U}/mL (IgM antiphosphatidylserine unit per milliliter),IgM antiphosphatidylserine unit per milliliter,{MPS'U}/mL;IgM antiphosphatidylserine unit per milliliter;igms antiphosphatidylserine unit per milliliter;IgM antiphosphatidylserine units per milliliter;igms antiphosphatidylserine unit per millilitre;igms antiphosphatidylserines units per milliliters;IgM antiphosphatidylserine units per millilitre;igms antiphosphatidylserines units per millilitres;IgM antiphosphatidylserine unit per millilitres;IgM antiphosphatidylserine unit per milliliters;IgM antiphosphatidylserines unit per millilitre;IgM antiphosphatidylserine unit per millilitre;IgM antiphosphatidylserines unit per milliliter,mps u ml igm antiphosphatidylserine unit per milliliter igms units millilitre antiphosphatidylserines milliliters millilitres,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
209,ucum_ImmuneComplexU,{ImmuneComplex'U},{ImmuneComplex'U},{ImmuneComplex'U} (immune complex unit),immune complex unit,{ImmuneComplex'U};immune complex unit;immune complex units;immunes complexes units;immunes complex unit;immune complexes unit,immunecomplex u immune complex unit units immunes complexes,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
210,ucum_ISR,{ISR},{ISR},{ISR} (immune status ratio),immune status ratio,{ISR};immune status ratio;immunes status ratio;immune statuses ratio;immunes statuses ratios;immune status ratios,isr immune status ratio immunes statuses ratios,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
211,ucum_IFA_index,{IFA_index},{IFA_index},{IFA_index} (immunofluorescence assay index),immunofluorescence assay index,{IFA_index};immunofluorescence assay index;immunofluorescences assay index;immunofluorescences assays indices;immunofluorescence assays index;immunofluorescence assay indices,ifa index immunofluorescence assay immunofluorescences assays indices,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
212,ucum_IFA_titer,{IFA_titer},{IFA_titer},{IFA_titer} (Immunofluorescence assay titer),Immunofluorescence assay titer,{IFA_titer};Immunofluorescence assay titer;immunofluorescences assays titers;Immunofluorescence assays titer;Immunofluorescence assay titers;immunofluorescences assay titer,ifa titer immunofluorescence assay immunofluorescences assays titers,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
213,ucum_in_i,[in_i],in,in (inch (international)),inch (international),[in_i];in;inch (international);inches (international),in i inch international inches,Length,length,non_metric,customary atom(s): [in_i],us_imperial,[in_i],c/s,false,ucum_v1.5_2020_06
214,ucum_in_iH2O,[in_i'H2O],[in_i'H²O],[in_i'H²O] (inch (international) of water),inch (international) of water,[in_i'H2O];[in_i'H²O];inch (international) of water;inches (international) of water,in i h2o h²o inch international of water inches,Length,length,non_metric,customary atom(s): [in_i'H2O],,,c/s,false,ucum_v1.5_2020_06
215,ucum_in_us,[in_us],in,in (inches (US)),inches (US),[in_us];in;inches (US),in us inches,Length,length,non_metric,customary atom(s): [in_us],us_imperial,[in_us],c/s,false,ucum_v1.5_2020_06
216,ucum_index_val,{index_val},{index_val},{index_val} (index value),index value,{index_val};index value;index values;indices values;indices value,index val value values indices,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
217,ucum_index,{index},{index},{index} (index value),index value,{index};index value;index values;indices values;indices value,index value values indices,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
218,ucum_HA_titer,{HA_titer},{HA_titer},{HA_titer} (influenza hemagglutination titer),influenza hemagglutination titer,{HA_titer};influenza hemagglutination titer;influenzas hemagglutination titer;influenzas hemagglutinations titers;influenza hemagglutinations titer;influenza hemagglutination titers,ha titer influenza hemagglutination influenzas hemagglutinations titers,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
219,ucum_INR,{INR},{INR},{INR} (international normalized ratio),international normalized ratio,{INR};international normalized ratio;international normalizeds ratio;international normalized ratios;international normalizeds ratios,inr international normalized ratio normalizeds ratios,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
220,ucum_IU,[IU],IU,IU (international unit),international unit,[IU];IU;international unit;international units,iu international unit units,Catalytic Activity,catalytic_activity,non_metric,customary atom(s): [IU],,,c/s,false,ucum_v1.5_2020_06
221,ucum_IU_per_2_x_h,[IU]/(2.h),IU/(2·h),IU/(2·h) (international unit per 2 hour),international unit per 2 hour,[IU]/(2.h);IU/(2·h);international unit per 2 hour;international units per 2 hours;international units per 2 hour;international unit per 2 hours,iu 2 h 2·h international unit per hour units hours,Catalytic Activity,catalytic_activity,mixed,customary: [IU]; non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
222,ucum_IU_per_24_x_h,[IU]/(24.h),IU/(24·h),IU/(24·h) (international unit per 24 hour),international unit per 24 hour,[IU]/(24.h);IU/(24·h);international unit per 24 hour;international unit per 24 hours;international units per 24 hours;international units per 24 hour,iu 24 h 24·h international unit per hour hours units,Catalytic Activity,catalytic_activity,mixed,customary: [IU]; non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
223,ucum_IU_per_10e9_RBCs,[IU]/10*9{RBCs},IU/10⁹{RBCs},IU/10⁹{RBCs} (international unit per billion red blood cells),international unit per billion red blood cells,[IU]/10*9{RBCs};IU/10⁹{RBCs};international unit per billion red blood cells;international units per billion red blood cells,iu 10 9 rbcs 10⁹ international unit per billion red blood cells units,Catalytic Activity,catalytic_activity,non_metric,customary atom(s): [IU],,,c/s,false,ucum_v1.5_2020_06
224,ucum_IU_per_d,[IU]/d,IU/d,IU/d (international unit per day),international unit per day,[IU]/d;IU/d;international unit per day;international units per day;international units per days;international unit per days,iu d international unit per day units days,Catalytic Activity,catalytic_activity,mixed,customary: [IU]; non-prefixable: d,,,c/s,false,ucum_v1.5_2020_06
225,ucum_IU_per_dL,[IU]/dL,IU/dL,IU/dL (international unit per deciliter),international unit per deciliter,[IU]/dL;IU/dL;international unit per deciliter;international units per decilitre;international unit per decilitre;international unit per decilitres;international units per deciliters;international units per deciliter;international units per decilitres;international unit per deciliters,iu dl international unit per deciliter units decilitre decilitres deciliters,Catalytic Concentration,catalytic_concentration,mixed,customary: [IU],,,c/s,false,ucum_v1.5_2020_06
226,ucum_IU_per_g,[IU]/g,IU/g,IU/g (international unit per gram),international unit per gram,[IU]/g;IU/g;international unit per gram;international unit per grams;international units per grams;international units per gram,iu g international unit per gram grams units,Catalytic Concentration,catalytic_concentration,mixed,customary: [IU],,,c/s,false,ucum_v1.5_2020_06
227,ucum_IU_per_g_Hb,[IU]/g{Hb},IU/g{Hb},IU/g{Hb} (international unit per gram of hemoglobin),international unit per gram of hemoglobin,[IU]/g{Hb};IU/g{Hb};international unit per gram of hemoglobin;international units per gram of hemoglobin;international unit per grams of hemoglobin;international units per grams of hemoglobins;international unit per gram of hemoglobins,iu g hb international unit per gram of hemoglobin units grams hemoglobins,Catalytic Concentration,catalytic_concentration,mixed,customary: [IU],,,c/s,false,ucum_v1.5_2020_06
228,ucum_IU_per_h,[IU]/h,IU/h,IU/h (international unit per hour),international unit per hour,[IU]/h;IU/h;international unit per hour;international unit per hours;international units per hour;international units per hours,iu h international unit per hour hours units,Catalytic Activity,catalytic_activity,mixed,customary: [IU]; non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
229,ucum_IU_per_kg,[IU]/kg,IU/kg,IU/kg (international unit per kilogram),international unit per kilogram,[IU]/kg;IU/kg;international unit per kilogram;international unit per kilograms;international units per kilograms;international units per kilogram,iu kg international unit per kilogram kilograms units,Catalytic Concentration,catalytic_concentration,mixed,customary: [IU],,,c/s,false,ucum_v1.5_2020_06
230,ucum_IU_per_kg_per_d,[IU]/kg/d,IU/kg/d,IU/kg/d (international unit per kilogram per day),international unit per kilogram per day,[IU]/kg/d;IU/kg/d;international unit per kilogram per day;international unit per kilograms per day;international units per kilogram per day;international units per kilograms per days;international unit per kilogram per days,iu kg d international unit per kilogram day kilograms units days,Mass Rate,mass_rate,mixed,customary: [IU]; non-prefixable: d,,,c/s,false,ucum_v1.5_2020_06
231,ucum_IU_per_L,[IU]/L,IU/L,IU/L (international unit per liter),international unit per liter,[IU]/L;IU/L;international unit per liter;international units per litre;international units per liters;international unit per litres;international units per litres;international unit per liters;international units per liter;international unit per litre,iu l international unit per liter units litre liters litres,Catalytic Concentration,catalytic_concentration,mixed,customary: [IU],,,c/s,true,ucum_v1.5_2020_06
232,ucum_IU_per_L_37Cel,[IU]/L{37Cel},IU/L{37°C},IU/L{37°C} (international unit per liter at 37 degrees Celsius),international unit per liter at 37 degrees Celsius,[IU]/L{37Cel};IU/L{37°C};international unit per liter at 37 degrees Celsius;international unit per litres at 37 degrees Celsius;international units per liter at 37 degrees Celsius;international units per litre at 37 degrees Celsius;international units per litres at 37 degrees Celsius;international units per liters at 37 degrees Celsius;international unit per litre at 37 degrees Celsius;international unit per liters at 37 degrees Celsius,iu l 37cel 37°c international unit per liter at 37 degrees celsius litres units litre liters,Temperature,temperature,mixed,customary: [IU],,,c/s,false,ucum_v1.5_2020_06
233,ucum_IU_per_mg_creat,[IU]/mg{creat},IU/mg{creat},IU/mg{creat} (international unit per milligram of creatinine),international unit per milligram of creatinine,[IU]/mg{creat};IU/mg{creat};international unit per milligram of creatinine;international unit per milligrams of creatinine;international units per milligrams of creatinines;international units per milligram of creatinine;international unit per milligram of creatinines,iu mg creat international unit per milligram of creatinine milligrams units creatinines,Catalytic Activity,catalytic_activity,mixed,customary: [IU],,,c/s,false,ucum_v1.5_2020_06
234,ucum_IU_per_mL,[IU]/mL,IU/mL,IU/mL (international unit per milliliter),international unit per milliliter,[IU]/mL;IU/mL;international unit per milliliter;international units per millilitres;international unit per millilitre;international units per millilitre;international units per milliliter;international unit per milliliters;international unit per millilitres;international units per milliliters,iu ml international unit per milliliter units millilitres millilitre milliliters,Catalytic Concentration,catalytic_concentration,mixed,customary: [IU],,,c/s,true,ucum_v1.5_2020_06
235,ucum_IU_per_min,[IU]/min,IU/min,IU/min (international unit per minute),international unit per minute,[IU]/min;IU/min;international unit per minute;international units per minute;international unit per minutes;international units per minutes,iu min international unit per minute units minutes,Catalytic Activity,catalytic_activity,mixed,customary: [IU]; non-prefixable: min,,,c/s,false,ucum_v1.5_2020_06
236,ucum_J,J,J,J (joule),joule,J;joule;joules,j joule joules,Energy,energy,metric,,,,c/s,true,ucum_v1.5_2020_06
237,ucum_J_per_L,J/L,J/L,J/L (joule per liter),joule per liter,J/L;joule per liter;joule per litres;joules per liter;joule per litre;joules per litres;joules per litre;joules per liters;joule per liters,j l joule per liter litres joules litre liters,Per Volume,per_volume,metric,,,,c/s,false,ucum_v1.5_2020_06
238,ucum_JDFU,{JDF'U},{JDF'U},{JDF'U} (Juvenile Diabetes Foundation unit),Juvenile Diabetes Foundation unit,{JDF'U};Juvenile Diabetes Foundation unit;Juvenile Diabetes foundations unit;juveniles Diabetes Foundation unit;juveniles Diabetes foundations units;Juvenile Diabetes Foundation units,jdf u juvenile diabetes foundation unit foundations juveniles units,Arbitrary Unit,arbitrary_unit,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
239,ucum_JDFU_per_L,{JDF'U}/L,{JDF'U}/L,{JDF'U}/L (Juvenile Diabetes Foundation unit per liter),Juvenile Diabetes Foundation unit per liter,{JDF'U}/L;Juvenile Diabetes Foundation unit per liter;Juvenile Diabetes Foundation units per liter;juveniles Diabetes foundations units per litres;juveniles Diabetes foundations units per liters;Juvenile Diabetes Foundation unit per litres;Juvenile Diabetes Foundation unit per litre;Juvenile Diabetes Foundation unit per liters;juveniles Diabetes Foundation unit per litre;Juvenile Diabetes foundations unit per litre;Juvenile Diabetes Foundation units per litre;juveniles Diabetes Foundation unit per liter;Juvenile Diabetes foundations unit per liter,jdf u l juvenile diabetes foundation unit per liter units juveniles foundations litres liters litre,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
240,ucum_KCTU,{KCT'U},{KCT'U},{KCT'U} (kaolin clotting time),kaolin clotting time,{KCT'U};kaolin clotting time;kaolins clotting time;kaolin clotting times;kaolins clottings times;kaolin clottings time,kct u kaolin clotting time kaolins times clottings,Count,count,annotation,annotation-only token (no dimension),,,c/s,false,ucum_v1.5_2020_06
241,ucum_kat,kat,kat,kat (katal),katal,kat;katal;katals,kat katal katals,Catalytic Activity,catalytic_activity,metric,,,,c/s,false,ucum_v1.5_2020_06
242,ucum_kat_per_kg,kat/kg,kat/kg,kat/kg (katal per kilogram),katal per kilogram,kat/kg;katal per kilogram;katal per kilograms;katals per kilograms;katals per kilogram,kat kg katal per kilogram kilograms katals,Catalytic Concentration,catalytic_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
243,ucum_kat_per_L,kat/L,kat/L,kat/L (katal per liter),katal per liter,kat/L;katal per liter;katal per litre;katals per litre;katals per liters;katals per litres;katal per liters;katals per liter;katal per litres,kat l katal per liter litre katals liters litres,Catalytic Concentration,catalytic_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
244,ucum_kU,kU,kU,kU (kilo enzyme unit),kilo enzyme unit,kU;kilo enzyme unit;kilo enzymes units;kilo enzyme units;kilo enzymes unit,ku kilo enzyme unit enzymes units,Catalytic Activity,catalytic_activity,metric,,,,c/s,false,ucum_v1.5_2020_06
245,ucum_kU_per_g,kU/g,kU/g,kU/g (kilo enzyme unit per gram),kilo enzyme unit per gram,kU/g;kilo enzyme unit per gram;kilo enzyme unit per grams;kilo enzymes units per grams;kilo enzyme units per gram;kilo enzymes unit per gram,ku g kilo enzyme unit per gram grams enzymes units,Catalytic Concentration,catalytic_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
246,ucum_kU_per_L,kU/L,kU/L,kU/L (kilo enzyme unit per liter),kilo enzyme unit per liter,kU/L;kilo enzyme unit per liter;kilo enzymes unit per liter;kilo enzyme unit per litre;kilo enzymes unit per litre;kilo enzyme units per liter;kilo enzyme unit per litres;kilo enzyme units per litre;kilo enzymes units per liters;kilo enzymes units per litres;kilo enzyme unit per liters,ku l kilo enzyme unit per liter enzymes litre units litres liters,Catalytic Concentration,catalytic_concentration,metric,,,,c/s,true,ucum_v1.5_2020_06
247,ucum_kU_per_L_class,kU/L{class},kU/L{class},kU/L{class} (kilo enzyme unit per liter class),kilo enzyme unit per liter class,kU/L{class};kilo enzyme unit per liter class;kilo enzymes units per liters classes;kilo enzymes unit per liter class;kilo enzyme unit per litre classes;kilo enzymes unit per litre class;kilo enzyme units per litre class;kilo enzyme unit per litre class;kilo enzyme units per liter class;kilo enzyme unit per liter classes;kilo enzyme unit per litres class;kilo enzymes units per litres classes;kilo enzyme unit per liters class,ku l class kilo enzyme unit per liter enzymes units liters classes litre litres,Catalytic Concentration,catalytic_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
248,ucum_kU_per_mL,kU/mL,kU/mL,kU/mL (kilo enzyme unit per milliliter),kilo enzyme unit per milliliter,kU/mL;kilo enzyme unit per milliliter;kilo enzyme units per milliliter;kilo enzymes units per milliliters;kilo enzymes units per millilitres;kilo enzyme unit per milliliters;kilo enzymes unit per milliliter;kilo enzyme unit per millilitres;kilo enzyme units per millilitre;kilo enzyme unit per millilitre;kilo enzymes unit per millilitre,ku ml kilo enzyme unit per milliliter units enzymes milliliters millilitres millilitre,Catalytic Concentration,catalytic_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
249,ucum_k_IU_per_L,k[IU]/L,kIU/L,kIU/L (kilo international unit per liter),kilo international unit per liter,k[IU]/L;kIU/L;kilo international unit per liter;kilo international units per liter;kilo international unit per litre;kilo international units per liters;kilo international units per litres;kilo international units per litre;kilo international unit per liters;kilo international unit per litres,k iu l kiu kilo international unit per liter units litre liters litres,Catalytic Concentration,catalytic_concentration,mixed,customary: [IU],,,c/s,false,ucum_v1.5_2020_06
250,ucum_k_IU_per_mL,k[IU]/mL,kIU/mL,kIU/mL (kilo international unit per milliliter),kilo international unit per milliliter,k[IU]/mL;kIU/mL;kilo international unit per milliliter;kilo international unit per millilitre;kilo international units per milliliters;kilo international unit per milliliters;kilo international units per milliliter;kilo international units per millilitres;kilo international units per millilitre;kilo international unit per millilitres,k iu ml kiu kilo international unit per milliliter millilitre units milliliters millilitres,Catalytic Concentration,catalytic_concentration,mixed,customary: [IU],,,c/s,false,ucum_v1.5_2020_06
251,ucum_kcal,kcal,kcal,kcal (kilocalorie),kilocalorie,kcal;kilocalorie;kilocalories,kcal kilocalorie kilocalories,Energy,energy,metric,,,,c/s,true,ucum_v1.5_2020_06
252,ucum_kcal_per_24_x_h,kcal/(24.h),kcal/(24·h),kcal/(24·h) (kilocalorie per 24 hour),kilocalorie per 24 hour,kcal/(24.h);kcal/(24·h);kilocalorie per 24 hour;kilocalories per 24 hour;kilocalorie per 24 hours;kilocalories per 24 hours,kcal 24 h 24·h kilocalorie per hour kilocalories hours,Energy Rate,energy_rate,mixed,non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
253,ucum_kcal_per_d,kcal/d,kcal/d,kcal/d (kilocalorie per day),kilocalorie per day,kcal/d;kilocalorie per day;kilocalories per day;kilocalorie per days;kilocalories per days,kcal d kilocalorie per day kilocalories days,Rate (per time),rate_per_time,mixed,non-prefixable: d,,,c/s,false,ucum_v1.5_2020_06
254,ucum_kcal_per_h,kcal/h,kcal/h,kcal/h (kilocalorie per hour),kilocalorie per hour,kcal/h;kilocalorie per hour;kilocalories per hours;kilocalorie per hours;kilocalories per hour,kcal h kilocalorie per hour kilocalories hours,Rate (per time),rate_per_time,mixed,non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
255,ucum_kcal_per_kg_per_24_x_h,kcal/kg/(24.h),kcal/kg/(24·h),kcal/kg/(24·h) (kilocalorie per kilogram per 24 hour),kilocalorie per kilogram per 24 hour,kcal/kg/(24.h);kcal/kg/(24·h);kilocalorie per kilogram per 24 hour;kilocalorie per kilogram per 24 hours;kilocalories per kilogram per 24 hour;kilocalories per kilograms per 24 hours;kilocalorie per kilograms per 24 hour,kcal kg 24 h 24·h kilocalorie per kilogram hour hours kilocalories kilograms,Per Mass,per_mass,mixed,non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
256,ucum_kcal_per_oz_av,kcal/[oz_av],kcal/oz,kcal/oz (kilocalorie per ounce (US & British)),kilocalorie per ounce (US & British),kcal/[oz_av];kcal/oz;kilocalorie per ounce (US & British);kilocalories per ounces (US & British);kilocalorie per ounces (US & British);kilocalories per ounce (US & British),kcal oz av kilocalorie per ounce us british kilocalories ounces,Energy per Mass,energy_per_mass,mixed,customary: [oz_av],us_imperial,[oz_av],c/s,false,ucum_v1.5_2020_06
257,ucum_kg,kg,kg,kg (kilogram),kilogram,kg;kilogram;kilograms,kg kilogram kilograms,Mass,mass,metric,,,,c/s,true,ucum_v1.5_2020_06
258,ucum_kg_x_m_per_s,kg.m/s,kg·m/s,kg·m/s (kilogram meter per second),kilogram meter per second,kg.m/s;kg·m/s;kilogram meter per second;kilograms metres per seconds;kilograms meters per seconds;kilograms meter per second;kilograms metre per second;kilogram metre per second;kilogram metre per seconds;kilogram metres per second;kilogram meter per seconds;kilogram meters per second,kg m s kg·m kilogram meter per second kilograms metres seconds meters metre,Velocity,velocity,metric,,,,c/s,false,ucum_v1.5_2020_06
259,ucum_kg_per_m3,kg/m3,kg/m³,kg/m³ (kilogram per cubic meter),kilogram per cubic meter,kg/m3;kg/m³;kilogram per cubic meter;kilograms per cubic meters;kilograms per cubic metre;kilogram per cubic meters;kilograms per cubic metres;kilograms per cubic meter;kilogram per cubic metres;kilogram per cubic metre,kg m3 m³ kilogram per cubic meter kilograms meters metre metres,Mass Concentration,mass_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
260,ucum_kg_per_h,kg/h,kg/h,kg/h (kilogram per hour),kilogram per hour,kg/h;kilogram per hour;kilograms per hours;kilograms per hour;kilogram per hours,kg h kilogram per hour kilograms hours,Mass Rate,mass_rate,mixed,non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
261,ucum_kg_per_L,kg/L,kg/L,kg/L (kilogram per liter),kilogram per liter,kg/L;kilogram per liter;kilogram per litres;kilogram per litre;kilograms per litres;kilograms per liters;kilograms per liter;kilograms per litre;kilogram per liters,kg l kilogram per liter litres litre kilograms liters,Mass Concentration,mass_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
262,ucum_kg_per_min,kg/min,kg/min,kg/min (kilogram per minute),kilogram per minute,kg/min;kilogram per minute;kilograms per minute;kilograms per minutes;kilogram per minutes,kg min kilogram per minute kilograms minutes,Mass Rate,mass_rate,mixed,non-prefixable: min,,,c/s,false,ucum_v1.5_2020_06
263,ucum_kg_per_mol,kg/mol,kg/mol,kg/mol (kilogram per mole),kilogram per mole,kg/mol;kilogram per mole;kilograms per mole;kilogram per moles;kilograms per moles,kg mol kilogram per mole kilograms moles,Mass Rate,mass_rate,metric,,,,c/s,false,ucum_v1.5_2020_06
264,ucum_kg_per_s,kg/s,kg/s,kg/s (kilogram per second),kilogram per second,kg/s;kilogram per second;kilograms per seconds;kilograms per second;kilogram per seconds,kg s kilogram per second kilograms seconds,Mass Rate,mass_rate,metric,,,,c/s,false,ucum_v1.5_2020_06
265,ucum_kg_per_s_x_m2,kg/(s.m2),kg/(s·m²),kg/(s·m²) (kilogram per second per square meter),kilogram per second per square meter,kg/(s.m2);kg/(s·m²);kilogram per second per square meter;kilogram per seconds per square metre;kilogram per second per square metres;kilograms per seconds per square meters;kilograms per second per square meter;kilograms per seconds per square metres;kilogram per seconds per square meter;kilogram per second per square metre;kilograms per second per square metre;kilogram per second per square meters,kg s m2 s·m² kilogram per second square meter seconds metre metres kilograms meters,Mass Rate,mass_rate,metric,,,,c/s,false,ucum_v1.5_2020_06
266,ucum_kg_per_m2,kg/m2,kg/m²,kg/m² (kilogram per square meter),kilogram per square meter,kg/m2;kg/m²;kilogram per square meter;kilograms per square metres;kilogram per square metres;kilogram per square meters;kilogram per square metre;kilograms per square meter;kilograms per square metre;kilograms per square meters,kg m2 m² kilogram per square meter kilograms metres meters metre,Areic Mass,areic_mass,metric,,,,c/s,true,ucum_v1.5_2020_06
267,ucum_kL,kL,kL,kL (kiloliter),kiloliter,kL;kiloliter;kiloliters;kilolitre;kilolitres,kl kiloliter kiloliters kilolitre kilolitres,Volume,volume,metric,,,,c/s,false,ucum_v1.5_2020_06
268,ucum_km,km,km,km (kilometer),kilometer,km;kilometer;kilometre;kilometres;kilometers,km kilometer kilometre kilometres kilometers,Length,length,metric,,,,c/s,false,ucum_v1.5_2020_06
269,ucum_kPa,kPa,kPa,kPa (kilopascal),kilopascal,kPa;kilopascal;kilopascals,kpa kilopascal kilopascals,Pressure,pressure,metric,,,,c/s,true,ucum_v1.5_2020_06
270,ucum_ks,ks,ks,ks (kilosecond),kilosecond,ks;kilosecond;kiloseconds,ks kilosecond kiloseconds,Time,time,metric,,,,c/s,false,ucum_v1.5_2020_06
271,ucum_kaU,[ka'U],[ka'U],[ka'U] (King Armstrong unit),King Armstrong unit,[ka'U];King Armstrong unit;King armstrongs unit;kings Armstrong unit;kings armstrongs units;King Armstrong units,ka u king armstrong unit armstrongs kings units,Arbitrary Unit,arbitrary_unit,non_metric,customary atom(s): [ka'U],,,c/s,false,ucum_v1.5_2020_06
272,ucum_KRONUU_per_mL,{KRONU'U}/mL,{KRONU'U}/mL,{KRONU'U}/mL (Kronus unit per milliliter),Kronus unit per milliliter,{KRONU'U}/mL;Kronus unit per milliliter;kronuses units per milliliters;Kronus unit per millilitres;Kronus units per milliliter;Kronus unit per millilitre;kronuses unit per milliliter;Kronus units per millilitre;kronuses units per millilitres;kronuses unit per millilitre;Kronus unit per milliliters,kronu u ml kronus unit per milliliter kronuses units milliliters millilitres millilitre,Number Concentration,number_concentration,metric,,,,c/s,false,ucum_v1.5_2020_06
273,ucum_knkU,[knk'U],[knk'U],[knk'U] (Kunkel unit),Kunkel unit,[knk'U];Kunkel unit;kunkels units;Kunkel units;kunkels unit,knk u kunkel unit kunkels units,Arbitrary Unit,arbitrary_unit,non_metric,customary atom(s): [knk'U],,,c/s,false,ucum_v1.5_2020_06
274,ucum_L,L,L,L (liter),liter,L;liter;litres;liters;litre,l liter litres liters litre,Volume,volume,metric,,,,c/s,true,ucum_v1.5_2020_06
275,ucum_L_per_24_x_h,L/(24.h),L/(24·h),L/(24·h) (liter per 24 hour),liter per 24 hour,L/(24.h);L/(24·h);liter per 24 hour;litres per 24 hours;litres per 24 hour;liters per 24 hours;liters per 24 hour;liter per 24 hours;litre per 24 hour;litre per 24 hours,l 24 h 24·h liter per hour litres hours liters litre,Volumetric Flow Rate,volumetric_flow_rate,mixed,non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
276,ucum_L_per_8_x_h,L/(8.h),L/(8·h),L/(8·h) (liter per 8 hour),liter per 8 hour,L/(8.h);L/(8·h);liter per 8 hour;liters per 8 hour;litres per 8 hours;litres per 8 hour;litre per 8 hours;liters per 8 hours;litre per 8 hour;liter per 8 hours,l 8 h 8·h liter per hour liters litres hours litre,Volumetric Flow Rate,volumetric_flow_rate,mixed,non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
277,ucum_L_per_d,L/d,L/d,L/d (liter per day),liter per day,L/d;liter per day;liter per days;litres per days;litre per days;litre per day;liters per days;liters per day;litres per day,l d liter per day days litres litre liters,Volumetric Flow Rate,volumetric_flow_rate,mixed,non-prefixable: d,,,c/s,false,ucum_v1.5_2020_06
278,ucum_L_per_h,L/h,L/h,L/h (liter per hour),liter per hour,L/h;liter per hour;litre per hour;litres per hour;liters per hour;litres per hours;liter per hours;litre per hours;liters per hours,l h liter per hour litre litres liters hours,Volumetric Flow Rate,volumetric_flow_rate,mixed,non-prefixable: h,,,c/s,false,ucum_v1.5_2020_06
279,ucum_L_per_kg,L/kg,L/kg,L/kg (liter per kilogram),liter per kilogram,L/kg;liter per kilogram;liters per kilograms;litre per kilogram;litres per kilogram;liter per kilograms;liters per kilogram;litre per kilograms;litres per kilograms,l kg liter per kilogram liters kilograms litre litres,Per Mass,per_mass,metric,,,,c/s,false,ucum_v1.5_2020_06
